epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1345,4.96706,24.9881,2.36862,0,0,0,0,3.92544,8.77415,1.6351,6e-05,6e-05,6e-05
2,6.01553,3.92739,15.2174,2.13268,0,0,0,0,3.34654,8.63239,1.46399,0.000137228,0.000137228,0.000137228
3,8.85314,4.23156,18.1057,2.01336,0,0,0,0,3.60166,7.87205,1.35884,0.000211288,0.000211288,0.000211288
4,11.8127,4.21116,22.5171,2.05712,0,0,0,0,3.69405,8.07157,1.37093,0.00028218,0.00028218,0.00028218
5,14.6778,4.34155,23.3195,2.05679,0,0,0,0,3.46003,8.32876,1.29733,0.000349904,0.000349904,0.000349904
6,17.5318,3.38803,14.5145,1.55789,0,0,0,0,3.38157,8.45582,1.29114,0.00041446,0.00041446,0.00041446
7,20.2817,3.44358,11.3177,1.71193,0,0,0,0,3.38157,8.45582,1.29114,0.000475848,0.000475848,0.000475848
8,23.0388,4.07846,12.6968,1.6203,0,0,0,0,3.34998,8.83359,1.30273,0.000534068,0.000534068,0.000534068
9,25.8016,3.35206,9.3135,1.53333,0,0,0,0,3.13078,9.49781,1.27661,0.00058912,0.00058912,0.00058912
10,28.4635,4.24974,9.70456,1.8795,0,0,0,0,3.13078,9.49781,1.27661,0.000641004,0.000641004,0.000641004
11,31.2304,3.29351,10.9069,1.63384,0,0,0,0,3.13423,9.63698,1.25587,0.00068972,0.00068972,0.00068972
12,33.9788,3.26805,9.26216,1.48131,0,0,0,0,3.13423,9.63698,1.25587,0.000735268,0.000735268,0.000735268
13,36.7532,4.16027,9.84071,1.65949,0,0,0,0,2.73811,9.95875,1.18381,0.000777648,0.000777648,0.000777648
14,39.4022,3.62529,8.98165,1.48359,0,0,0,0,2.73811,9.95875,1.18381,0.00081686,0.00081686,0.00081686
15,42.1724,3.3105,9.85431,1.41209,0,0,0,0,3.37721,8.18086,1.29244,0.000852904,0.000852904,0.000852904
16,44.9843,3.80042,10.5031,1.47497,0,0,0,0,3.37721,8.18086,1.29244,0.00088578,0.00088578,0.00088578
17,47.7408,3.23812,8.73017,1.37663,0,0,0,0,3.37721,8.18086,1.29244,0.000915488,0.000915488,0.000915488
18,50.5518,3.59657,8.24588,1.51382,0,0,0,0,3.48204,12.1414,1.37683,0.000942028,0.000942028,0.000942028
19,53.0992,3.47447,9.61938,1.52997,0,0,0,0,3.48204,12.1414,1.37683,0.0009654,0.0009654,0.0009654
20,55.8672,3.06666,9.40984,1.27401,0,0,0,0,3.48204,12.1414,1.37683,0.000985604,0.000985604,0.000985604
21,58.6395,3.21261,9.3939,1.3323,0,0,0,0,3.48204,12.1414,1.37683,0.00100264,0.00100264,0.00100264
22,61.4817,3.40698,7.06278,1.29317,0,0,0,0,4.75084,14.6698,1.68137,0.00101651,0.00101651,0.00101651
23,64.1987,2.80636,6.93034,1.29245,0,0,0,0,4.75084,14.6698,1.68137,0.00102721,0.00102721,0.00102721
24,66.9257,2.24291,10.233,0.97343,0,0,0,0,4.75084,14.6698,1.68137,0.00103474,0.00103474,0.00103474
25,69.5995,3.64446,9.90366,1.43069,0,0,0,0,4.75084,14.6698,1.68137,0.0010391,0.0010391,0.0010391
26,72.3384,2.95854,7.24631,1.32098,0,0,0,0,4.67688,16.0669,1.93935,0.00101,0.00101,0.00101
27,74.9877,3.10836,6.8436,1.28432,0,0,0,0,4.67688,16.0669,1.93935,0.0009704,0.0009704,0.0009704
28,77.6943,3.28891,6.95397,1.35857,0,0,0,0,4.67688,16.0669,1.93935,0.0009308,0.0009308,0.0009308
29,80.4862,3.38927,8.97247,1.37188,0,0,0,0,4.67688,16.0669,1.93935,0.0008912,0.0008912,0.0008912
30,83.22,2.90906,7.54719,1.21791,0,0,0,0,2.67128,12.4839,2.19597,0.0008516,0.0008516,0.0008516
31,86.0029,2.92701,6.42154,1.2725,0,0,0,0,2.67128,12.4839,2.19597,0.000812,0.000812,0.000812
32,88.6766,2.54344,6.25365,1.25811,0,0,0,0,2.67128,12.4839,2.19597,0.0007724,0.0007724,0.0007724
33,91.3424,2.92709,6.40089,1.31813,0,0,0,0,2.67128,12.4839,2.19597,0.0007328,0.0007328,0.0007328
34,94.1221,3.40326,9.3223,1.29271,0.00111,0.33333,0.0012,0.00012,2.8841,11.241,1.69074,0.0006932,0.0006932,0.0006932
35,96.8312,2.65548,7.26032,1.12673,0.00111,0.33333,0.0012,0.00012,2.8841,11.241,1.69074,0.0006536,0.0006536,0.0006536
36,99.5509,3.12543,6.34139,1.37258,0.00111,0.33333,0.0012,0.00012,2.8841,11.241,1.69074,0.000614,0.000614,0.000614
37,102.294,3.21006,6.99392,1.44152,0.00111,0.33333,0.0012,0.00012,2.8841,11.241,1.69074,0.0005744,0.0005744,0.0005744
38,104.972,2.29347,8.0557,1.2666,0.00111,0.33333,0.00135,0.00098,2.76859,9.88231,1.38178,0.0005348,0.0005348,0.0005348
39,107.62,2.91374,6.72387,1.22156,0.00111,0.33333,0.00135,0.00098,2.76859,9.88231,1.38178,0.0004952,0.0004952,0.0004952
40,110.382,2.45222,5.04214,1.20383,0.00111,0.33333,0.00135,0.00098,2.76859,9.88231,1.38178,0.0004556,0.0004556,0.0004556
41,113.158,2.79107,7.79165,1.23548,0.00111,0.33333,0.00135,0.00098,2.76859,9.88231,1.38178,0.000416,0.000416,0.000416
42,115.854,2.48244,6.70003,1.23803,0.00111,0.33333,0.00131,0.00114,2.48426,8.84497,1.1413,0.0003764,0.0003764,0.0003764
43,118.505,3.01377,8.46358,1.38981,0.00111,0.33333,0.00131,0.00114,2.48426,8.84497,1.1413,0.0003368,0.0003368,0.0003368
44,121.178,3.09781,9.62129,1.34328,0.00111,0.33333,0.00131,0.00114,2.48426,8.84497,1.1413,0.0002972,0.0002972,0.0002972
45,123.812,2.52329,7.22938,1.17843,0.00111,0.33333,0.00131,0.00114,2.48426,8.84497,1.1413,0.0002576,0.0002576,0.0002576
46,126.438,2.9657,11.4149,1.3717,0.00111,0.33333,0.00221,0.00107,2.67127,7.67958,1.13436,0.000218,0.000218,0.000218
47,129.097,2.3322,6.29197,1.25513,0.00111,0.33333,0.00221,0.00107,2.67127,7.67958,1.13436,0.0001784,0.0001784,0.0001784
48,131.694,3.33993,10.8121,1.53556,0.00111,0.33333,0.00221,0.00107,2.67127,7.67958,1.13436,0.0001388,0.0001388,0.0001388
49,134.323,2.59543,6.84061,1.30467,0.00111,0.33333,0.00221,0.00107,2.67127,7.67958,1.13436,9.92e-05,9.92e-05,9.92e-05
50,136.903,2.68882,7.99039,1.28567,0.00111,0.33333,0.02829,0.00433,2.62575,6.38635,1.18476,5.96e-05,5.96e-05,5.96e-05
